2026-07-23T14:58:33.854151226Z [inf]  Starting Container
2026-07-23T14:58:35.568722619Z [err]  INFO  [alembic.runtime.migration] Context impl PostgresqlImpl.
2026-07-23T14:58:35.568729213Z [err]  INFO  [alembic.runtime.migration] Will assume transactional DDL.
2026-07-23T14:58:42.653885003Z [err]  INFO:     Started server process [5]
2026-07-23T14:58:42.653890739Z [err]  INFO:     Waiting for application startup.
2026-07-23T14:58:42.653896749Z [inf]  2026-07-23T14:58:42+0000 | INFO     | app.main | Starting Telegram Business Bot (environment=production)
2026-07-23T14:58:42.653902432Z [inf]  2026-07-23T14:58:42+0000 | INFO     | app.main | Database dialect: postgresql (persistent)
2026-07-23T14:58:43.557431652Z [inf]  2026-07-23T14:58:43+0000 | INFO     | app.main | Telegram webhook set to https://telegram-business-bot-production.up.railway.app/webhook
2026-07-23T14:58:43.557438707Z [inf]  2026-07-23T14:58:43+0000 | INFO     | app.main | Telegram chat menu button set to open mini app
2026-07-23T14:58:43.559524365Z [inf]  2026-07-23T14:58:43+0000 | INFO     | telethon.crypto.aes | libssl detected, it will be used for encryption
2026-07-23T14:58:43.615826782Z [inf]  2026-07-23T14:58:43+0000 | INFO     | telethon.network.mtprotosender | Connecting to 149.154.167.51:443/TcpFull...
2026-07-23T14:58:43.764304062Z [inf]  2026-07-23T14:58:43+0000 | INFO     | telethon.network.mtprotosender | Connection to 149.154.167.51:443/TcpFull complete!
2026-07-23T14:58:44.789463160Z [inf]  2026-07-23T14:58:44+0000 | INFO     | app.services.telethon_service | Telethon user-client connected as амаль (id=6881815417)
2026-07-23T14:58:46.797933722Z [inf]  2026-07-23T14:58:46+0000 | INFO     | app.services.telethon_service | Telethon: entity cache warmed up (283 dialogs)
2026-07-23T14:58:46.802303432Z [err]  INFO:     Application startup complete.
2026-07-23T14:58:46.802311962Z [err]  INFO:     Uvicorn running on http://0.0.0.0:8080 (Press CTRL+C to quit)
2026-07-23T14:58:47.730084475Z [inf]  2026-07-23T14:58:47+0000 | INFO     | app.services.message_service | Stored new business message chat_id=611857502 message_id=1097341 media=text
2026-07-23T14:58:47.730092731Z [inf]  2026-07-23T14:58:47+0000 | INFO     | aiogram.event | Update id=745924301 is handled. Duration 85 ms by bot id=1162707887
2026-07-23T14:58:47.730099935Z [inf]  2026-07-23T14:58:47+0000 | INFO     | http | POST /webhook -> 200 (87.2ms)
2026-07-23T14:58:47.730232196Z [inf]  2026-07-23T14:58:47+0000 | INFO     | app.routers.webhook | Received Telegram update update_id=745924301
2026-07-23T14:58:50.628249291Z [inf]  2026-07-23T14:58:50+0000 | INFO     | aiogram.event | Update id=745924295 is handled. Duration 34 ms by bot id=1162707887
2026-07-23T14:58:50.628263201Z [inf]  2026-07-23T14:58:50+0000 | INFO     | http | POST /webhook -> 200 (35.3ms)
2026-07-23T14:58:50.628276562Z [inf]  2026-07-23T14:58:50+0000 | INFO     | app.routers.webhook | Received Telegram update update_id=745924294
2026-07-23T14:58:50.628393406Z [inf]  2026-07-23T14:58:50+0000 | INFO     | app.routers.webhook | Received Telegram update update_id=745924295
2026-07-23T14:58:50.628399512Z [inf]  2026-07-23T14:58:50+0000 | INFO     | app.services.message_service | Stored new business message chat_id=739637012 message_id=784743 media=text
2026-07-23T14:58:50.631394156Z [inf]  2026-07-23T14:58:50+0000 | INFO     | app.services.message_service | Stored new business message chat_id=2040216796 message_id=686934 media=text
2026-07-23T14:58:50.633174756Z [inf]  2026-07-23T14:58:50+0000 | INFO     | aiogram.event | Update id=745924294 is handled. Duration 39 ms by bot id=1162707887
2026-07-23T14:58:50.636438146Z [inf]  2026-07-23T14:58:50+0000 | INFO     | http | POST /webhook -> 200 (42.0ms)
2026-07-23T14:58:50.636444981Z [inf]  2026-07-23T14:58:50+0000 | INFO     | app.routers.webhook | Received Telegram update update_id=745924298
2026-07-23T14:58:50.662090926Z [inf]  2026-07-23T14:58:50+0000 | INFO     | app.services.message_service | Stored new business message chat_id=739637012 message_id=784744 media=text
2026-07-23T14:58:50.668399888Z [inf]  2026-07-23T14:58:50+0000 | INFO     | aiogram.event | Update id=745924298 is handled. Duration 31 ms by bot id=1162707887
2026-07-23T14:58:50.668410127Z [inf]  2026-07-23T14:58:50+0000 | INFO     | http | POST /webhook -> 200 (32.5ms)
2026-07-23T14:58:50.785038024Z [inf]  2026-07-23T14:58:50+0000 | INFO     | app.routers.webhook | Received Telegram update update_id=745924297
2026-07-23T14:58:50.805223728Z [inf]  2026-07-23T14:58:50+0000 | INFO     | app.services.message_service | Stored new business message chat_id=2040216796 message_id=686935 media=text
2026-07-23T14:58:50.811159370Z [inf]  2026-07-23T14:58:50+0000 | INFO     | aiogram.event | Update id=745924297 is handled. Duration 30 ms by bot id=1162707887
2026-07-23T14:58:50.811172299Z [inf]  2026-07-23T14:58:50+0000 | INFO     | http | POST /webhook -> 200 (31.3ms)
2026-07-23T14:58:50.816831662Z [inf]  2026-07-23T14:58:50+0000 | INFO     | app.routers.webhook | Received Telegram update update_id=745924300
2026-07-23T14:58:50.860576820Z [inf]  2026-07-23T14:58:50+0000 | INFO     | app.services.message_service | Recorded edit for chat_id=739637012 message_id=784744 (edit #1)
2026-07-23T14:58:50.865619871Z [inf]  2026-07-23T14:58:50+0000 | INFO     | aiogram.event | Update id=745924300 is handled. Duration 49 ms by bot id=1162707887
2026-07-23T14:58:50.865629743Z [inf]  2026-07-23T14:58:50+0000 | INFO     | http | POST /webhook -> 200 (52.2ms)
2026-07-23T14:58:51.844537806Z [inf]  2026-07-23T14:58:51+0000 | INFO     | http | POST /webhook -> 200 (31.1ms)
2026-07-23T14:58:51.845191051Z [inf]  2026-07-23T14:58:50+0000 | INFO     | app.routers.webhook | Received Telegram update update_id=745924299
2026-07-23T14:58:51.845195783Z [inf]  2026-07-23T14:58:51+0000 | INFO     | app.services.message_service | Recorded edit for chat_id=2040216796 message_id=686935 (edit #1)
2026-07-23T14:58:51.845209572Z [inf]  2026-07-23T14:58:51+0000 | INFO     | aiogram.event | Update id=745924299 is handled. Duration 262 ms by bot id=1162707887
2026-07-23T14:58:51.845214630Z [inf]  2026-07-23T14:58:51+0000 | INFO     | http | POST /webhook -> 200 (264.6ms)
2026-07-23T14:58:51.845220033Z [inf]  2026-07-23T14:58:51+0000 | INFO     | app.routers.webhook | Received Telegram update update_id=745924302
2026-07-23T14:58:51.845226404Z [inf]  2026-07-23T14:58:51+0000 | INFO     | app.services.message_service | Stored new business message chat_id=864974709 message_id=784745 media=text
2026-07-23T14:58:51.845232226Z [inf]  2026-07-23T14:58:51+0000 | INFO     | aiogram.event | Update id=745924302 is handled. Duration 29 ms by bot id=1162707887
2026-07-23T14:58:53.931127509Z [inf]  2026-07-23T14:58:52+0000 | INFO     | app.routers.webhook | Received Telegram update update_id=745924303
2026-07-23T14:58:53.931132176Z [inf]  2026-07-23T14:58:52+0000 | INFO     | app.services.message_service | Stored new business message chat_id=864974709 message_id=784746 media=text
2026-07-23T14:58:53.931136683Z [inf]  2026-07-23T14:58:52+0000 | INFO     | aiogram.event | Update id=745924303 is handled. Duration 42 ms by bot id=1162707887
2026-07-23T14:58:53.931141050Z [inf]  2026-07-23T14:58:52+0000 | INFO     | http | POST /webhook -> 200 (44.0ms)
2026-07-23T14:58:53.931145002Z [inf]  2026-07-23T14:58:53+0000 | INFO     | app.routers.webhook | Received Telegram update update_id=745924304
2026-07-23T14:58:53.931149249Z [inf]  2026-07-23T14:58:53+0000 | INFO     | app.services.message_service | Stored new business message chat_id=611857502 message_id=1097342 media=text
2026-07-23T14:58:53.931154008Z [inf]  2026-07-23T14:58:53+0000 | INFO     | aiogram.event | Update id=745924304 is handled. Duration 35 ms by bot id=1162707887
2026-07-23T14:58:53.931159100Z [inf]  2026-07-23T14:58:53+0000 | INFO     | http | POST /webhook -> 200 (36.3ms)
2026-07-23T14:58:54.937079113Z [inf]  2026-07-23T14:58:54+0000 | INFO     | app.routers.webhook | Received Telegram update update_id=745924296
2026-07-23T14:58:54.937084525Z [inf]  2026-07-23T14:58:54+0000 | INFO     | app.services.message_service | Stored new business message chat_id=1360420675 message_id=566197 media=text
2026-07-23T14:58:54.937090372Z [inf]  2026-07-23T14:58:54+0000 | INFO     | aiogram.event | Update id=745924296 is handled. Duration 64 ms by bot id=1162707887
2026-07-23T14:58:54.937097203Z [inf]  2026-07-23T14:58:54+0000 | INFO     | http | POST /webhook -> 200 (65.6ms)
2026-07-23T14:58:56.949465881Z [inf]  2026-07-23T14:58:56+0000 | INFO     | app.routers.webhook | Received Telegram update update_id=745924306
2026-07-23T14:58:56.949470177Z [inf]  2026-07-23T14:58:56+0000 | INFO     | app.routers.webhook | Received Telegram update update_id=745924305
2026-07-23T14:58:56.994652125Z [inf]  2026-07-23T14:58:56+0000 | INFO     | app.services.message_service | Stored new business message chat_id=2040216796 message_id=686937 media=text
2026-07-23T14:58:56.994657332Z [inf]  2026-07-23T14:58:56+0000 | INFO     | app.business.handlers | dot-save: triggered owner=739637012 chat=2040216796 reply_to=686935
2026-07-23T14:58:56.999855574Z [inf]  2026-07-23T14:58:56+0000 | INFO     | aiogram.event | Update id=745924306 is handled. Duration 31 ms by bot id=1162707887
2026-07-23T14:58:56.999860535Z [inf]  2026-07-23T14:58:56+0000 | INFO     | http | POST /webhook -> 200 (32.6ms)
2026-07-23T14:58:57.001096899Z [inf]  2026-07-23T14:58:56+0000 | INFO     | app.services.message_service | Stored new business message chat_id=739637012 message_id=784747 media=text
2026-07-23T14:58:57.001103861Z [inf]  2026-07-23T14:58:56+0000 | INFO     | aiogram.event | Update id=745924305 is handled. Duration 36 ms by bot id=1162707887
2026-07-23T14:58:57.001110265Z [inf]  2026-07-23T14:58:56+0000 | INFO     | http | POST /webhook -> 200 (39.2ms)
2026-07-23T14:58:57.076207914Z [inf]  2026-07-23T14:58:57+0000 | INFO     | app.business.handlers | dot-save: message 686935 is non-media (type=MediaType.TEXT) — skipping
2026-07-23T14:59:01.070490139Z [inf]  2026-07-23T14:59:00+0000 | INFO     | app.routers.webhook | Received Telegram update update_id=745924307
2026-07-23T14:59:01.070494680Z [inf]  2026-07-23T14:59:00+0000 | INFO     | app.services.message_service | Stored new business message chat_id=611857502 message_id=1097343 media=text
2026-07-23T14:59:01.070503601Z [inf]  2026-07-23T14:59:00+0000 | INFO     | aiogram.event | Update id=745924307 is handled. Duration 35 ms by bot id=1162707887
2026-07-23T14:59:01.070507914Z [inf]  2026-07-23T14:59:00+0000 | INFO     | http | POST /webhook -> 200 (37.3ms)
2026-07-23T14:59:07.017883437Z [inf]  2026-07-23T14:59:06+0000 | INFO     | app.routers.webhook | Received Telegram update update_id=745924308
