2026-07-21T20:11:53.749301423Z [inf]  Starting Container
2026-07-21T20:11:54.439126469Z [err]  INFO  [alembic.runtime.migration] Context impl PostgresqlImpl.
2026-07-21T20:11:54.439129175Z [err]  INFO  [alembic.runtime.migration] Will assume transactional DDL.
2026-07-21T20:11:57.666147083Z [err]  INFO:     Started server process [5]
2026-07-21T20:11:57.666150574Z [err]  INFO:     Waiting for application startup.
2026-07-21T20:11:57.666154748Z [inf]  2026-07-21T20:11:57+0000 | INFO     | app.main | Starting Telegram Business Bot (environment=production)
2026-07-21T20:11:57.666157861Z [inf]  2026-07-21T20:11:57+0000 | INFO     | app.main | Database dialect: postgresql (persistent)
2026-07-21T20:11:58.455183850Z [inf]  2026-07-21T20:11:58+0000 | INFO     | app.main | Telegram webhook set to https://telegram-business-bot-production.up.railway.app/webhook
2026-07-21T20:11:58.504362242Z [inf]  2026-07-21T20:11:58+0000 | INFO     | app.main | Telegram chat menu button set to open mini app
2026-07-21T20:11:58.504365544Z [inf]  2026-07-21T20:11:58+0000 | INFO     | app.main | Telethon not configured (TELEGRAM_API_ID / TELEGRAM_API_HASH / TELETHON_SESSION_STR missing) — view-once media will fall back to Bot API only.
2026-07-21T20:11:58.504370422Z [err]  INFO:     Application startup complete.
2026-07-21T20:11:58.504373863Z [err]  INFO:     Uvicorn running on http://0.0.0.0:8080 (Press CTRL+C to quit)
2026-07-21T20:12:02.108322905Z [inf]  2026-07-21T20:12:02+0000 | INFO     | app.routers.webhook | Received Telegram update update_id=745910197
2026-07-21T20:12:02.443661448Z [inf]  2026-07-21T20:12:02+0000 | INFO     | aiogram.event | Update id=745910197 is handled. Duration 61 ms by bot id=1162707887
2026-07-21T20:12:02.443671050Z [inf]  2026-07-21T20:12:02+0000 | INFO     | http | POST /webhook -> 200 (63.4ms)
2026-07-21T20:12:02.443714950Z [inf]  2026-07-21T20:12:02+0000 | INFO     | app.services.message_service | Stored new business message chat_id=2040216796 message_id=686117 media=video
2026-07-21T20:12:05.446981019Z [inf]  2026-07-21T20:12:05+0000 | INFO     | app.routers.webhook | Received Telegram update update_id=745910198
2026-07-21T20:12:05.446984401Z [inf]  2026-07-21T20:12:05+0000 | INFO     | app.services.message_service | Stored new business message chat_id=888323651 message_id=218651 media=text
2026-07-21T20:12:05.446987777Z [inf]  2026-07-21T20:12:05+0000 | INFO     | aiogram.event | Update id=745910198 is handled. Duration 37 ms by bot id=1162707887
