2026-07-23T14:24:59.653169979Z [inf]  Starting Container
2026-07-23T14:25:00.483047132Z [err]  INFO  [alembic.runtime.migration] Context impl PostgresqlImpl.
2026-07-23T14:25:00.483054899Z [err]  INFO  [alembic.runtime.migration] Will assume transactional DDL.
2026-07-23T14:25:03.020816960Z [err]  INFO:     Started server process [5]
2026-07-23T14:25:03.020819794Z [err]  INFO:     Waiting for application startup.
2026-07-23T14:25:03.020822830Z [inf]  2026-07-23T14:25:03+0000 | INFO     | app.main | Starting Telegram Business Bot (environment=production)
2026-07-23T14:25:03.020825864Z [inf]  2026-07-23T14:25:03+0000 | INFO     | app.main | Database dialect: postgresql (persistent)
2026-07-23T14:25:03.802995324Z [inf]  2026-07-23T14:25:03+0000 | INFO     | app.main | Telegram webhook set to https://telegram-business-bot-production.up.railway.app/webhook
2026-07-23T14:25:03.951361712Z [inf]  2026-07-23T14:25:03+0000 | INFO     | app.main | Telegram chat menu button set to open mini app
2026-07-23T14:25:04.557052935Z [inf]  2026-07-23T14:25:04+0000 | INFO     | telethon.crypto.aes | libssl detected, it will be used for encryption
2026-07-23T14:25:04.557055998Z [inf]  2026-07-23T14:25:04+0000 | INFO     | telethon.network.mtprotosender | Connecting to 149.154.167.51:443/TcpFull...
2026-07-23T14:25:04.557058775Z [inf]  2026-07-23T14:25:04+0000 | INFO     | telethon.network.mtprotosender | Connection to 149.154.167.51:443/TcpFull complete!
2026-07-23T14:25:05.542816885Z [inf]  2026-07-23T14:25:05+0000 | INFO     | app.services.telethon_service | Telethon user-client connected as амаль (id=6881815417)
2026-07-23T14:25:05.542819940Z [err]  INFO:     Application startup complete.
2026-07-23T14:25:05.542822886Z [err]  INFO:     Uvicorn running on http://0.0.0.0:8080 (Press CTRL+C to quit)
2026-07-23T14:25:10.590608572Z [inf]  2026-07-23T14:25:10+0000 | INFO     | app.routers.webhook | Received Telegram update update_id=745923924
2026-07-23T14:25:10.590620381Z [inf]  2026-07-23T14:25:10+0000 | INFO     | app.services.message_service | Stored new business message chat_id=864974709 message_id=784569 media=text
2026-07-23T14:25:10.590626133Z [inf]  2026-07-23T14:25:10+0000 | INFO     | aiogram.event | Update id=745923924 is handled. Duration 67 ms by bot id=1162707887
2026-07-23T14:25:10.590630771Z [inf]  2026-07-23T14:25:10+0000 | INFO     | http | POST /webhook -> 200 (70.0ms)
