2026-07-21T20:19:02.454294125Z [inf]  Starting Container
2026-07-21T20:19:04.279020525Z [err]  INFO  [alembic.runtime.migration] Context impl PostgresqlImpl.
2026-07-21T20:19:04.279028049Z [err]  INFO  [alembic.runtime.migration] Will assume transactional DDL.
2026-07-21T20:19:09.395020723Z [err]  INFO:     Started server process [5]
2026-07-21T20:19:09.395027559Z [err]  INFO:     Waiting for application startup.
2026-07-21T20:19:09.395031784Z [inf]  2026-07-21T20:19:09+0000 | INFO     | app.main | Starting Telegram Business Bot (environment=production)
2026-07-21T20:19:09.395036370Z [inf]  2026-07-21T20:19:09+0000 | INFO     | app.main | Database dialect: postgresql (persistent)
2026-07-21T20:19:10.313962007Z [err]  INFO:     Uvicorn running on http://0.0.0.0:8080 (Press CTRL+C to quit)
2026-07-21T20:19:10.313966985Z [inf]  2026-07-21T20:19:10+0000 | INFO     | app.main | Telegram chat menu button set to open mini app
2026-07-21T20:19:10.313975027Z [inf]  2026-07-21T20:19:10+0000 | INFO     | app.main | Telethon not configured (TELEGRAM_API_ID / TELEGRAM_API_HASH / TELETHON_SESSION_STR missing) — view-once media will fall back to Bot API only.
2026-07-21T20:19:10.313985269Z [inf]  2026-07-21T20:19:10+0000 | INFO     | app.main | Telegram webhook set to https://telegram-business-bot-production.up.railway.app/webhook
2026-07-21T20:19:10.313987350Z [err]  INFO:     Application startup complete.
2026-07-21T20:19:14.266549999Z [inf]  2026-07-21T20:19:13+0000 | INFO     | app.routers.webhook | Received Telegram update update_id=745910280
2026-07-21T20:19:14.266554337Z [inf]  2026-07-21T20:19:13+0000 | INFO     | app.services.message_service | Stored new business message chat_id=888323651 message_id=218710 media=text
2026-07-21T20:19:14.266560824Z [inf]  2026-07-21T20:19:13+0000 | INFO     | aiogram.event | Update id=745910280 is handled. Duration 60 ms by bot id=1162707887
2026-07-21T20:19:14.266566459Z [inf]  2026-07-21T20:19:13+0000 | INFO     | http | POST /webhook -> 200 (62.4ms)
2026-07-21T20:19:14.266570539Z [inf]  2026-07-21T20:19:13+0000 | INFO     | app.routers.webhook | Received Telegram update update_id=745910281
2026-07-21T20:19:14.266574885Z [inf]  2026-07-21T20:19:13+0000 | INFO     | app.services.message_service | Stored new business message chat_id=888323651 message_id=218711 media=text
2026-07-21T20:19:14.266579227Z [inf]  2026-07-21T20:19:13+0000 | INFO     | aiogram.event | Update id=745910281 is handled. Duration 25 ms by bot id=1162707887
2026-07-21T20:19:14.266583676Z [inf]  2026-07-21T20:19:13+0000 | INFO     | http | POST /webhook -> 200 (26.0ms)
2026-07-21T20:19:15.445160708Z [inf]  2026-07-21T20:19:15+0000 | INFO     | app.routers.webhook | Received Telegram update update_id=745910282
2026-07-21T20:19:15.457121587Z [inf]  2026-07-21T20:19:15+0000 | INFO     | app.services.message_service | Stored new business message chat_id=888323651 message_id=218712 media=text
2026-07-21T20:19:15.459200086Z [inf]  2026-07-21T20:19:15+0000 | INFO     | aiogram.event | Update id=745910282 is handled. Duration 27 ms by bot id=1162707887
2026-07-21T20:19:15.459207140Z [inf]  2026-07-21T20:19:15+0000 | INFO     | http | POST /webhook -> 200 (29.0ms)
2026-07-21T20:19:17.751738312Z [inf]  2026-07-21T20:19:17+0000 | INFO     | app.routers.webhook | Received Telegram update update_id=745910283
2026-07-21T20:19:17.780222177Z [inf]  2026-07-21T20:19:17+0000 | INFO     | app.services.message_service | Stored new business message chat_id=888323651 message_id=218713 media=text
2026-07-21T20:19:17.780228965Z [inf]  2026-07-21T20:19:17+0000 | INFO     | aiogram.event | Update id=745910283 is handled. Duration 23 ms by bot id=1162707887
2026-07-21T20:19:17.780236334Z [inf]  2026-07-21T20:19:17+0000 | INFO     | http | POST /webhook -> 200 (25.7ms)
2026-07-21T20:19:19.568799267Z [inf]  2026-07-21T20:19:19+0000 | INFO     | app.routers.webhook | Received Telegram update update_id=745910284
2026-07-21T20:19:19.584489335Z [inf]  2026-07-21T20:19:19+0000 | INFO     | app.services.message_service | Stored new business message chat_id=888323651 message_id=218714 media=text
2026-07-21T20:19:19.584496530Z [inf]  2026-07-21T20:19:19+0000 | INFO     | aiogram.event | Update id=745910284 is handled. Duration 19 ms by bot id=1162707887
2026-07-21T20:19:19.584502436Z [inf]  2026-07-21T20:19:19+0000 | INFO     | http | POST /webhook -> 200 (21.1ms)
2026-07-21T20:19:22.326475970Z [inf]  2026-07-21T20:19:22+0000 | INFO     | aiogram.event | Update id=745910285 is handled. Duration 23 ms by bot id=1162707887
2026-07-21T20:19:22.326488628Z [inf]  2026-07-21T20:19:22+0000 | INFO     | http | POST /webhook -> 200 (25.0ms)
2026-07-21T20:19:22.326591405Z [inf]  2026-07-21T20:19:22+0000 | INFO     | app.routers.webhook | Received Telegram update update_id=745910285
2026-07-21T20:19:22.326598295Z [inf]  2026-07-21T20:19:22+0000 | INFO     | app.services.message_service | Stored new business message chat_id=888323651 message_id=218715 media=text
2026-07-21T20:19:41.756322135Z [inf]  2026-07-21T20:19:33+0000 | INFO     | http | GET /app -> 200 (59.6ms)
2026-07-21T20:19:41.756328452Z [inf]  2026-07-21T20:19:34+0000 | INFO     | http | POST /app/api/relationships/list -> 200 (41.8ms)
2026-07-21T20:19:41.756334672Z [inf]  2026-07-21T20:19:34+0000 | INFO     | http | POST /app/api/shop/status -> 200 (209.8ms)
2026-07-21T20:19:41.756341302Z [inf]  2026-07-21T20:19:34+0000 | INFO     | http | POST /app/api/stats/digest -> 200 (496.1ms)
2026-07-21T20:19:41.756347974Z [inf]  2026-07-21T20:19:34+0000 | INFO     | http | POST /app/api/activity -> 200 (497.0ms)
2026-07-21T20:19:41.756353643Z [inf]  2026-07-21T20:19:34+0000 | INFO     | http | POST /app/api/stats/words -> 200 (496.0ms)
2026-07-21T20:19:41.756359769Z [inf]  2026-07-21T20:19:34+0000 | INFO     | http | POST /app/api/stats -> 200 (689.9ms)
2026-07-21T20:19:42.538142772Z [inf]  2026-07-21T20:19:42+0000 | INFO     | app.routers.webhook | Received Telegram update update_id=745910286
2026-07-21T20:19:42.538148366Z [inf]  2026-07-21T20:19:42+0000 | INFO     | app.services.message_service | Stored new business message chat_id=888323651 message_id=218716 media=text
2026-07-21T20:19:42.538154484Z [inf]  2026-07-21T20:19:42+0000 | INFO     | aiogram.event | Update id=745910286 is handled. Duration 31 ms by bot id=1162707887
2026-07-21T20:19:42.538160439Z [inf]  2026-07-21T20:19:42+0000 | INFO     | http | POST /webhook -> 200 (33.9ms)
2026-07-21T20:19:42.538166439Z [inf]  2026-07-21T20:19:42+0000 | INFO     | http | GET /app/admin -> 200 (21.4ms)
2026-07-21T20:19:42.901001850Z [inf]  2026-07-21T20:19:42+0000 | INFO     | http | POST /app/api/admin/overview -> 200 (97.6ms)
2026-07-21T20:19:45.638727938Z [inf]  2026-07-21T20:19:45+0000 | INFO     | app.routers.webhook | Received Telegram update update_id=745910287
2026-07-21T20:19:45.638733421Z [inf]  2026-07-21T20:19:45+0000 | INFO     | app.services.message_service | Stored new business message chat_id=888323651 message_id=218717 media=text
2026-07-21T20:19:45.638737746Z [inf]  2026-07-21T20:19:45+0000 | INFO     | aiogram.event | Update id=745910287 is handled. Duration 32 ms by bot id=1162707887
2026-07-21T20:19:45.638750920Z [inf]  2026-07-21T20:19:45+0000 | INFO     | http | POST /webhook -> 200 (33.5ms)
2026-07-21T20:19:52.626913377Z [inf]  2026-07-21T20:19:52+0000 | INFO     | aiogram.event | Update id=745910288 is handled. Duration 24 ms by bot id=1162707887
2026-07-21T20:19:52.626924218Z [inf]  2026-07-21T20:19:52+0000 | INFO     | http | POST /webhook -> 200 (25.1ms)
2026-07-21T20:19:52.627030061Z [inf]  2026-07-21T20:19:52+0000 | INFO     | app.routers.webhook | Received Telegram update update_id=745910288
2026-07-21T20:19:52.627036073Z [inf]  2026-07-21T20:19:52+0000 | INFO     | app.services.message_service | Stored new business message chat_id=888323651 message_id=218718 media=text
