2026-07-20T17:10:43.069107558Z [inf]  Starting Container
2026-07-20T17:10:45.030677704Z [err]  INFO  [alembic.runtime.migration] Context impl PostgresqlImpl.
2026-07-20T17:10:45.030681034Z [err]  INFO  [alembic.runtime.migration] Will assume transactional DDL.
2026-07-20T17:10:47.559101450Z [err]  INFO:     Started server process [5]
2026-07-20T17:10:47.559105523Z [err]  INFO:     Waiting for application startup.
2026-07-20T17:10:47.559109562Z [inf]  2026-07-20T17:10:47+0000 | INFO     | app.main | Starting Telegram Business Bot (environment=production)
2026-07-20T17:10:47.559114046Z [inf]  2026-07-20T17:10:47+0000 | INFO     | app.main | Database dialect: postgresql (persistent)
2026-07-20T17:10:48.219381315Z [inf]  2026-07-20T17:10:48+0000 | INFO     | app.main | Telegram webhook set to https://telegram-business-bot-production.up.railway.app/webhook
2026-07-20T17:10:48.377103223Z [inf]  2026-07-20T17:10:48+0000 | INFO     | app.main | Telegram chat menu button set to open mini app
2026-07-20T17:10:48.377108105Z [inf]  2026-07-20T17:10:48+0000 | INFO     | app.main | Telethon not configured (TELEGRAM_API_ID / TELEGRAM_API_HASH / TELETHON_SESSION_STR missing) — view-once media will fall back to Bot API only.
2026-07-20T17:10:48.377111622Z [err]  INFO:     Application startup complete.
2026-07-20T17:10:48.377114650Z [err]  INFO:     Uvicorn running on http://0.0.0.0:8080 (Press CTRL+C to quit)
2026-07-20T17:10:50.161168449Z [inf]  2026-07-20T17:10:50+0000 | INFO     | app.routers.webhook | Received Telegram update update_id=745899665
2026-07-20T17:10:50.240271011Z [inf]  2026-07-20T17:10:50+0000 | INFO     | app.services.message_service | Stored new business message chat_id=2008952758 message_id=1410799 media=text
2026-07-20T17:10:50.240273898Z [inf]  2026-07-20T17:10:50+0000 | INFO     | app.business.handlers | dot-save: triggered owner=5688354783 chat=2008952758 reply_to=1410787
2026-07-20T17:10:50.240276637Z [inf]  2026-07-20T17:10:50+0000 | INFO     | aiogram.event | Update id=745899665 is handled. Duration 51 ms by bot id=1162707887
2026-07-20T17:10:50.240279480Z [inf]  2026-07-20T17:10:50+0000 | INFO     | http | POST /webhook -> 200 (54.8ms)
2026-07-20T17:10:50.297818609Z [inf]  2026-07-20T17:10:50+0000 | INFO     | app.business.handlers | dot-save: found video file_id=BAACAgIAAxkBAAEVhsFq…
2026-07-20T17:10:50.413664227Z [inf]  2026-07-20T17:10:50+0000 | INFO     | app.business.handlers | dot-save: video is regular media (bot_api ok) — skipping silently
2026-07-20T17:10:53.159630379Z [inf]  2026-07-20T17:10:53+0000 | INFO     | app.routers.webhook | Received Telegram update update_id=745899666
2026-07-20T17:10:53.159635245Z [inf]  2026-07-20T17:10:53+0000 | INFO     | app.services.message_service | Stored new business message chat_id=7525787284 message_id=1017934 media=text
2026-07-20T17:10:53.159640024Z [inf]  2026-07-20T17:10:53+0000 | INFO     | aiogram.event | Update id=745899666 is handled. Duration 33 ms by bot id=1162707887
2026-07-20T17:10:53.159644239Z [inf]  2026-07-20T17:10:53+0000 | INFO     | http | POST /webhook -> 200 (34.4ms)
2026-07-20T17:10:57.689302107Z [inf]  2026-07-20T17:10:57+0000 | INFO     | app.routers.webhook | Received Telegram update update_id=745899667
2026-07-20T17:10:57.698873222Z [inf]  2026-07-20T17:10:57+0000 | INFO     | app.services.message_service | Stored new business message chat_id=7525787284 message_id=1017935 media=sticker
2026-07-20T17:10:57.719217415Z [inf]  2026-07-20T17:10:57+0000 | INFO     | aiogram.event | Update id=745899667 is handled. Duration 47 ms by bot id=1162707887
2026-07-20T17:10:57.719222150Z [inf]  2026-07-20T17:10:57+0000 | INFO     | http | POST /webhook -> 200 (47.7ms)
2026-07-20T17:10:58.202737344Z [inf]  2026-07-20T17:10:57+0000 | INFO     | app.routers.webhook | Received Telegram update update_id=745899668
2026-07-20T17:10:58.202744958Z [inf]  2026-07-20T17:10:57+0000 | INFO     | app.services.message_service | Stored new business message chat_id=7525787284 message_id=1017936 media=text
2026-07-20T17:10:58.202750241Z [inf]  2026-07-20T17:10:57+0000 | INFO     | aiogram.event | Update id=745899668 is handled. Duration 23 ms by bot id=1162707887
2026-07-20T17:10:58.202755488Z [inf]  2026-07-20T17:10:57+0000 | INFO     | http | POST /webhook -> 200 (24.5ms)
