2026-07-23T14:39:30.392088058Z [inf]  Starting Container
2026-07-23T14:39:32.160069037Z [err]  INFO  [alembic.runtime.migration] Context impl PostgresqlImpl.
2026-07-23T14:39:32.160077546Z [err]  INFO  [alembic.runtime.migration] Will assume transactional DDL.
2026-07-23T14:39:39.440718511Z [err]  INFO:     Started server process [5]
2026-07-23T14:39:39.440731388Z [err]  INFO:     Waiting for application startup.
2026-07-23T14:39:39.440737957Z [inf]  2026-07-23T14:39:39+0000 | INFO     | app.main | Starting Telegram Business Bot (environment=production)
2026-07-23T14:39:39.440744179Z [inf]  2026-07-23T14:39:39+0000 | INFO     | app.main | Database dialect: postgresql (persistent)
2026-07-23T14:39:40.915666829Z [inf]  2026-07-23T14:39:40+0000 | INFO     | app.main | Telegram webhook set to https://telegram-business-bot-production.up.railway.app/webhook
2026-07-23T14:39:40.915672639Z [inf]  2026-07-23T14:39:40+0000 | INFO     | app.main | Telegram chat menu button set to open mini app
2026-07-23T14:39:40.915678119Z [inf]  2026-07-23T14:39:40+0000 | INFO     | telethon.crypto.aes | libssl detected, it will be used for encryption
2026-07-23T14:39:40.915683625Z [inf]  2026-07-23T14:39:40+0000 | INFO     | telethon.network.mtprotosender | Connecting to 149.154.167.51:443/TcpFull...
2026-07-23T14:39:40.915689812Z [inf]  2026-07-23T14:39:40+0000 | INFO     | telethon.network.mtprotosender | Connection to 149.154.167.51:443/TcpFull complete!
2026-07-23T14:39:41.990600003Z [inf]  2026-07-23T14:39:41+0000 | INFO     | app.routers.webhook | Received Telegram update update_id=745924077
2026-07-23T14:39:41.990605877Z [inf]  2026-07-23T14:39:41+0000 | INFO     | app.services.message_service | Stored new business message chat_id=864974709 message_id=784632 media=text
2026-07-23T14:39:41.990617198Z [inf]  2026-07-23T14:39:41+0000 | INFO     | aiogram.event | Update id=745924077 is handled. Duration 79 ms by bot id=1162707887
2026-07-23T14:39:41.990624195Z [inf]  2026-07-23T14:39:41+0000 | INFO     | http | POST /webhook -> 200 (82.9ms)
2026-07-23T14:39:41.990645893Z [inf]  2026-07-23T14:39:41+0000 | ERROR    | app.services.telethon_service | Telethon: connect() failed (The authorization key (session file) was used under two different IP addresses simultaneously, and can no longer be used. Use the same session exclusively, or use different sessions (caused by InvokeWithLayerRequest(InitConnectionRequest(GetConfigRequest)))). If AuthKeyDuplicatedError — the same session is already running on another server. Use TELETHON_ENABLED=false to disable Telethon on this instance.
2026-07-23T14:39:41.990661776Z [inf]  2026-07-23T14:39:41+0000 | INFO     | telethon.network.mtprotosender | Disconnecting from 149.154.167.51:443/TcpFull...
2026-07-23T14:39:41.990668320Z [inf]  2026-07-23T14:39:41+0000 | INFO     | telethon.network.mtprotosender | Disconnection from 149.154.167.51:443/TcpFull complete!
